"","x","y","ISO3","HV001","REGCODE","IsRural","cattle","goat","sheep","chicken"
"1",39.345773,10.193657,"ETH",1,3,1,0.933333333333333,0,0.733333333333333,1
"2",38.750949,9.02825,"ETH",2,14,0,0.0344827586206897,0,0,0.0344827586206897
"3",42.137039,9.332589,"ETH",3,13,1,0.733333333333333,0.533333333333333,0.1,0.5
"4",42.113398,9.318443,"ETH",4,13,0,0,0,0.0357142857142857,0.142857142857143
"5",40.036524,4.485986,"ETH",5,5,1,0.653846153846154,0.730769230769231,0.807692307692308,0.192307692307692
"6",34.932796,10.274364,"ETH",6,6,1,0,0.592592592592593,0.037037037037037,0.592592592592593
"7",40.200158,8.620598,"ETH",7,4,1,0.733333333333333,0.433333333333333,0.366666666666667,0.733333333333333
"8",37.351075,5.327592,"ETH",8,7,1,0.551724137931034,0.517241379310345,0.862068965517241,0.689655172413793
"9",38.763376,8.907318,"ETH",9,14,0,0.0769230769230769,0,0.0384615384615385,0.0384615384615385
"10",38.447627,7.740446,"ETH",10,4,1,0.862068965517241,0.586206896551724,0.310344827586207,0.655172413793103
"11",37.817592,7.563261,"ETH",12,7,1,0.866666666666667,0.0666666666666667,0.333333333333333,0.633333333333333
"12",37.878806,7.151747,"ETH",14,7,1,0.785714285714286,0.0714285714285714,0.25,0.428571428571429
"13",37.862739,6.702506,"ETH",16,7,1,0.75,0.25,0.214285714285714,0.5
"14",39.515461,7.600196,"ETH",17,4,1,0.9,0.1,0.566666666666667,0.6
"15",37.814233,10.493381,"ETH",18,3,1,0.862068965517241,0,0.758620689655172,0.517241379310345
"16",0,0,"ETH",19,1,0,0.0740740740740741,0,0,0.0740740740740741
"17",38.083217,11.426969,"ETH",20,3,1,0.833333333333333,0.6,0.266666666666667,0.766666666666667
"18",39.898243,13.641318,"ETH",21,2,1,0,0.892857142857143,0.142857142857143,0
"19",38.775134,9.012966,"ETH",22,14,0,0.0344827586206897,0,0,0.0344827586206897
"20",38.772059,9.004771,"ETH",23,14,0,0.0344827586206897,0,0,0
"21",38.731417,9.027383,"ETH",24,14,0,0,0,0,0
"22",33.9925,8.449555,"ETH",25,12,1,0.5,0.5,0.233333333333333,0.666666666666667
"23",40.604658,10.078026,"ETH",26,2,1,0.758620689655172,0.931034482758621,0.896551724137931,0
"24",38.078384,7.814408,"ETH",27,7,1,0.9,0.4,0.133333333333333,0.7
"25",42.206522,9.329136,"ETH",28,13,1,0.827586206896552,0.655172413793103,0.0344827586206897,0.241379310344828
"26",36.980803,10.432837,"ETH",29,3,1,0.827586206896552,0,0.517241379310345,0.689655172413793
"27",35.059032,7.43769,"ETH",30,12,1,0.0740740740740741,0,0.111111111111111,0.666666666666667
"28",0,0,"ETH",32,3,0,0.0714285714285714,0.107142857142857,0.178571428571429,0.178571428571429
"29",40.176224,10.755926,"ETH",33,2,1,0.565217391304348,0.652173913043478,0.260869565217391,0
"30",38.736286,9.046293,"ETH",34,14,0,0,0,0,0
"31",38.270664,11.62999,"ETH",35,3,1,0.96551724137931,0.206896551724138,0.689655172413793,0.517241379310345
"32",38.7978,9.007752,"ETH",36,14,0,0.0333333333333333,0,0.0333333333333333,0.133333333333333
"33",39.073141,7.505442,"ETH",37,4,1,0.96551724137931,0.0344827586206897,0.827586206896552,0.655172413793103
"34",38.729473,9.846862,"ETH",38,4,1,0.833333333333333,0.3,0.1,0.766666666666667
"35",36.478538,11.570609,"ETH",39,3,1,0.518518518518518,0.0740740740740741,0.0740740740740741,0.407407407407407
"36",34.37693,10.27373,"ETH",40,6,1,0.0416666666666667,0.166666666666667,0,0.458333333333333
"37",42.144492,9.260024,"ETH",41,13,1,0.724137931034483,0.448275862068966,0.0344827586206897,0.413793103448276
"38",38.609049,6.893923,"ETH",42,7,1,0.766666666666667,0.0666666666666667,0.166666666666667,0.133333333333333
"39",37.992299,10.498989,"ETH",43,3,0,0.08,0,0.04,0.04
"40",41.791886,9.609731,"ETH",44,15,0,0,0,0.0344827586206897,0.103448275862069
"41",38.879544,14.075644,"ETH",46,1,1,0.866666666666667,0.566666666666667,0.233333333333333,0.866666666666667
"42",38.072733,8.258053,"ETH",47,7,1,0.892857142857143,0.535714285714286,0.0357142857142857,0.535714285714286
"43",42.273173,4.592231,"ETH",48,5,1,0.517241379310345,0.620689655172414,0.241379310344828,0
"44",43.709546,9.202416,"ETH",49,5,1,0.62962962962963,0.888888888888889,0.740740740740741,0
"45",39.051472,14.297822,"ETH",50,1,1,0.833333333333333,0.333333333333333,0.1,0.566666666666667
"46",41.826218,9.492382,"ETH",51,15,1,0.866666666666667,0.8,0.566666666666667,0.633333333333333
"47",39.203501,9.102768,"ETH",53,4,1,0.931034482758621,0.103448275862069,0.517241379310345,0.689655172413793
"48",36.147199,10.611664,"ETH",54,6,1,0.0344827586206897,0.137931034482759,0.0689655172413793,0.862068965517241
"49",38.400606,6.664828,"ETH",55,7,1,0.566666666666667,0.2,0,0.466666666666667
"50",39.08943,3.536337,"ETH",56,5,1,0.111111111111111,0.222222222222222,0.148148148148148,0.111111111111111
"51",0,0,"ETH",57,2,0,0.115384615384615,0.461538461538462,0.230769230769231,0.230769230769231
"52",36.169128,10.464768,"ETH",58,6,1,0.357142857142857,0.5,0.107142857142857,0.392857142857143
"53",41.84623,9.606897,"ETH",59,15,0,0,0,0.0740740740740741,0.0740740740740741
"54",43.455662,9.361962,"ETH",60,5,1,0.925925925925926,0.703703703703704,0.62962962962963,0
"55",34.515246,9.931243,"ETH",61,6,1,0.666666666666667,0.0666666666666667,0.0333333333333333,0.566666666666667
"56",41.601221,11.637527,"ETH",62,2,1,0.928571428571429,0.535714285714286,0.535714285714286,0
"57",33.321854,8.21933,"ETH",63,12,1,0.866666666666667,0.666666666666667,0.233333333333333,0.533333333333333
"58",37.611555,13.802279,"ETH",64,1,1,0.8,0.233333333333333,0.166666666666667,0.5
"59",40.452641,12.188915,"ETH",65,2,1,0.344827586206897,1,0.931034482758621,0
"60",40.006136,12.891084,"ETH",66,2,1,0.0666666666666667,1,0.3,0
"61",39.843572,11.716484,"ETH",67,3,1,0.851851851851852,0.518518518518518,0.0740740740740741,0.925925925925926
"62",40.25947,11.443945,"ETH",68,2,1,0.185185185185185,1,0.925925925925926,0
"63",39.849897,13.429626,"ETH",69,2,1,0.0769230769230769,1,0.5,0
"64",39.26718,12.502571,"ETH",71,1,1,0.642857142857143,0.285714285714286,0.0357142857142857,0.75
"65",0,0,"ETH",72,12,0,0,0.08,0,0.2
